genesymbol,drug_name,cpiclevel,usedforrecommendation
CYP2C19,amitriptyline,A,t
CYP2C19,brivaracetam,B,f
CYP2C19,carisoprodol,B/C,f
CYP2C19,citalopram,A,t
CYP2C19,clobazam,B/C,f
CYP2C19,clomipramine,B,t
CYP2C19,clopidogrel,A,t
CYP2C19,dexlansoprazole,B,t
CYP2C19,diazepam,B/C,f
CYP2C19,doxepin,B,t
CYP2C19,duloxetine,C,f
CYP2C19,escitalopram,A,t
CYP2C19,esomeprazole,C,f
CYP2C19,flibanserin,C,f
CYP2C19,fluoxetine,C,f
CYP2C19,fluvoxamine,C,f
CYP2C19,imipramine,B,t
CYP2C19,lansoprazole,A,t
CYP2C19,omeprazole,A,t
CYP2C19,pantoprazole,A,t
CYP2C19,paroxetine,C,f
CYP2C19,rabeprazole,C,f
CYP2C19,sertraline,A,t
CYP2C19,trimipramine,B,t
CYP2C19,venlafaxine,C,f
CYP2C19,voriconazole,A,t
CYP2C19,vortioxetine,C,f
CYP2D6,acebutolol,C,f
CYP2D6,amitriptyline,A,t
CYP2D6,amoxapine,B/C,f
CYP2D6,amphetamine,B/C,f
CYP2D6,aripiprazole,B,f
CYP2D6,aripiprazole lauroxil,B/C,f
CYP2D6,atomoxetine,A,t
CYP2D6,betaxolol,C,f
CYP2D6,bisoprolol,C,f
CYP2D6,brexpiprazole,B/C,f
CYP2D6,carvedilol,C,f
CYP2D6,cevimeline,B/C,f
CYP2D6,citalopram,C,f
CYP2D6,clomipramine,B,t
CYP2D6,clozapine,B/C,f
CYP2D6,codeine,A,t
CYP2D6,darifenacin,C,f
CYP2D6,desipramine,B,t
CYP2D6,deutetrabenazine,B/C,f
CYP2D6,dextromethorphan,B/C,f
CYP2D6,dolasetron,C,f
CYP2D6,donepezil,B/C,f
CYP2D6,doxepin,B,t
CYP2D6,duloxetine,C,f
CYP2D6,eliglustat,A/B,f
CYP2D6,escitalopram,C,f
CYP2D6,fesoterodine,C,f
CYP2D6,flecainide,B/C,f
CYP2D6,flibanserin,C,f
CYP2D6,fluoxetine,C,f
CYP2D6,fluvoxamine,B,t
CYP2D6,galantamine,C,f
CYP2D6,gefitinib,B/C,f
CYP2D6,haloperidol,B/C,f
CYP2D6,hydrocodone,B,t
CYP2D6,iloperidone,B/C,f
CYP2D6,imipramine,B,t
CYP2D6,labetalol,B/C,f
CYP2D6,lofexidine,B/C,f
CYP2D6,meclizine,B/C,f
CYP2D6,methadone,C,f
CYP2D6,methylphenidate,C,f
CYP2D6,metoclopramide,B/C,f
CYP2D6,metoprolol,B,t
CYP2D6,mirabegron,B/C,f
CYP2D6,mirtazapine,B/C,f
CYP2D6,modafinil,C,f
CYP2D6,nebivolol,C,f
CYP2D6,nortriptyline,A,t
CYP2D6,oliceridine,A/B,f
CYP2D6,ondansetron,A,t
CYP2D6,oxycodone,C,f
CYP2D6,palonosetron,C,f
CYP2D6,paroxetine,A,t
CYP2D6,perphenazine,B/C,f
CYP2D6,pimozide,A/B,f
CYP2D6,pitolisant,A,f
CYP2D6,propafenone,B/C,f
CYP2D6,propranolol,C,f
CYP2D6,protriptyline,B/C,f
CYP2D6,quinidine,C,f
CYP2D6,quinine,C,f
CYP2D6,ramosetron,C,f
CYP2D6,risperidone,B,f
CYP2D6,sertraline,C,f
CYP2D6,tamoxifen,A,t
CYP2D6,tamsulosin,B/C,f
CYP2D6,terbinafine,C,f
CYP2D6,tetrabenazine,A/B,f
CYP2D6,thioridazine,B/C,f
CYP2D6,timolol,B/C,f
CYP2D6,tolterodine,C,f
CYP2D6,tramadol,A,t
CYP2D6,trimipramine,B,t
CYP2D6,tropisetron,A,t
CYP2D6,valbenazine,B/C,f
CYP2D6,venlafaxine,B,t
CYP2D6,vortioxetine,A,t
CYP2D6,zuclopenthixol,B/C,f
DPYD,capecitabine,A,t
DPYD,fluorouracil,A,t
DPYD,tegafur,C,f
NUDT15,azathioprine,A,t
NUDT15,mercaptopurine,A,t
NUDT15,thioguanine,A,t
SLCO1B1,atorvastatin,A,t
SLCO1B1,elagolix,B/C,f
SLCO1B1,fluvastatin,A,t
SLCO1B1,lovastatin,A,t
SLCO1B1,methotrexate,C,f
SLCO1B1,pitavastatin,A,t
SLCO1B1,pravastatin,A,t
SLCO1B1,rosuvastatin,A,t
SLCO1B1,simvastatin,A,t
TPMT,azathioprine,A,t
TPMT,mercaptopurine,A,t
TPMT,thioguanine,A,t
